Location 1,Location 2,Price
Kepong,Kuala-Lumpur,430000
Bangsar-South,Kuala-Lumpur,858376
KL-Sentral,Kuala-Lumpur,1400000
Kuchai-Lama,Kuala-Lumpur,500000
Cheras,Kuala-Lumpur,590000
Segambut,Kuala-Lumpur,550000
Batu-Caves,Kuala-Lumpur,538500
Sri-Petaling,Kuala-Lumpur,380000
Sri-Petaling,Kuala-Lumpur,420000
Segambut,Kuala-Lumpur,480000
Sungai-Besi,Kuala-Lumpur,680000
Sungai-Besi,Kuala-Lumpur,690000
Sungai-Besi,Kuala-Lumpur,730000
Setapak,Kuala-Lumpur,400000
Batu-Caves,Kuala-Lumpur,380000
Batu-Caves,Kuala-Lumpur,380000
Jalan-Klang-Lama,Kuala-Lumpur,520000
City-Centre,Kuala-Lumpur,1420000
City-Centre,Kuala-Lumpur,1520000
City-Centre,Kuala-Lumpur,1550000
KLCC,Kuala-Lumpur,900000
KLCC,Kuala-Lumpur,960000
KLCC,Kuala-Lumpur,890000
KLCC,Kuala-Lumpur,955000
Setapak,Kuala-Lumpur,490000
City-Centre,Kuala-Lumpur,1499000
Ampang,Kuala-Lumpur,750000
Jinjang,Kuala-Lumpur,560000
Sungai-Besi,Kuala-Lumpur,485000
Sungai-Besi,Kuala-Lumpur,528000
KLCC,Kuala-Lumpur,999000
KLCC,Kuala-Lumpur,1050000
Desa-ParkCity,Kuala-Lumpur,850000
Segambut,Kuala-Lumpur,520000
Cheras,Kuala-Lumpur,500000
Desa-Petaling,Kuala-Lumpur,550000
Sentul,Kuala-Lumpur,800000
Dutamas,Kuala-Lumpur,1100000
Dutamas,Kuala-Lumpur,1000000
Dutamas,Kuala-Lumpur,1050000
Dutamas,Kuala-Lumpur,1050000
Dutamas,Kuala-Lumpur,1100000
Dutamas,Kuala-Lumpur,1250000
Dutamas,Kuala-Lumpur,1090600
Dutamas,Kuala-Lumpur,1148000
KLCC,Kuala-Lumpur,998000
KLCC,Kuala-Lumpur,850000
KLCC,Kuala-Lumpur,976650
KLCC,Kuala-Lumpur,1150000
Wangsa-Maju,Kuala-Lumpur,480000
KLCC,Kuala-Lumpur,1080000
Kepong,Kuala-Lumpur,430000
Kepong,Kuala-Lumpur,475000
Wangsa-Maju,Kuala-Lumpur,540000
Taman-Desa,Kuala-Lumpur,670000
Kepong,Kuala-Lumpur,445000
Kuchai-Lama,Kuala-Lumpur,853400
Kuchai-Lama,Kuala-Lumpur,1004000
Jalan-Klang-Lama,Kuala-Lumpur,620000
Wangsa-Maju,Kuala-Lumpur,480000
Dutamas,Kuala-Lumpur,896670
Dutamas,Kuala-Lumpur,896670
Dutamas,Kuala-Lumpur,896670
Dutamas,Kuala-Lumpur,896670
Dutamas,Kuala-Lumpur,807000
Dutamas,Kuala-Lumpur,896670
Taman-Desa,Kuala-Lumpur,645000
KLCC,Kuala-Lumpur,1700000
Bandar-Tasik-Selatan,Kuala-Lumpur,690000
Segambut,Kuala-Lumpur,630000
KL-City,Kuala-Lumpur,1960000
KLCC,Kuala-Lumpur,1910000
KLCC,Kuala-Lumpur,1910000
KLCC,Kuala-Lumpur,1910000
Titiwangsa,Kuala-Lumpur,620000
Taman-Desa,Kuala-Lumpur,660000
Bangsar,Kuala-Lumpur,1162000
Damansara-Heights,Kuala-Lumpur,1710000
Jalan-Klang-Lama,Kuala-Lumpur,650000
Kepong,Kuala-Lumpur,618000
KLCC,Kuala-Lumpur,1050000
Jalan-Klang-Lama,Kuala-Lumpur,688000
Jalan-Klang-Lama,Kuala-Lumpur,668000
Jalan-Klang-Lama,Kuala-Lumpur,650000
Jalan-Klang-Lama,Kuala-Lumpur,700000
Jalan-Klang-Lama,Kuala-Lumpur,650000
Jalan-Klang-Lama,Kuala-Lumpur,680000
Jalan-Klang-Lama,Kuala-Lumpur,668000
Setapak,Kuala-Lumpur,430000
Desa-Petaling,Kuala-Lumpur,400000
Desa-Pandan,Kuala-Lumpur,750000
Jalan-Klang-Lama,Kuala-Lumpur,720000
Jalan-Klang-Lama,Kuala-Lumpur,680000
Setapak,Kuala-Lumpur,380000
Bukit-Jalil,Kuala-Lumpur,800000
Cheras,Kuala-Lumpur,580000
Taman-Desa,Kuala-Lumpur,660000
Taman-Tun-Dr-Ismail,Kuala-Lumpur,980000
KLCC,Kuala-Lumpur,1182000
KLCC,Kuala-Lumpur,1200000
KLCC,Kuala-Lumpur,1300000
KLCC,Kuala-Lumpur,3200000
KLCC,Kuala-Lumpur,2950000
Desa-ParkCity,Kuala-Lumpur,880000
KLCC,Kuala-Lumpur,1380000
Desa-ParkCity,Kuala-Lumpur,980000
Jalan-Ipoh,Kuala-Lumpur,675000
Jalan-Ipoh,Kuala-Lumpur,675000
Jalan-Ipoh,Kuala-Lumpur,675000
Jalan-Ipoh,Kuala-Lumpur,675000
City-Centre,Kuala-Lumpur,650000
Setapak,Kuala-Lumpur,518000
Cheras,Kuala-Lumpur,550000
Taman-Desa,Kuala-Lumpur,700000
KLCC,Kuala-Lumpur,3200000
Desa-Petaling,Kuala-Lumpur,360000
Cheras,Kuala-Lumpur,615000
KLCC,Kuala-Lumpur,3100000
KLCC,Kuala-Lumpur,2900000
KLCC,Kuala-Lumpur,3200000
KLCC,Kuala-Lumpur,1900000
Desa-ParkCity,Kuala-Lumpur,1035000
Mont-Kiara,Kuala-Lumpur,1300000
KLCC,Kuala-Lumpur,2000000
Setapak,Kuala-Lumpur,430000
Sungai-Besi,Kuala-Lumpur,668000
Setapak,Kuala-Lumpur,620000
Jalan-Kuching,Kuala-Lumpur,530000
Jalan-Kuching,Kuala-Lumpur,500000
Jalan-Kuching,Kuala-Lumpur,488000
Sentul,Kuala-Lumpur,550000
Jalan-Kuching,Kuala-Lumpur,550000
Mont-Kiara,Kuala-Lumpur,1500000
Mont-Kiara,Kuala-Lumpur,790000
Jalan-Kuching,Kuala-Lumpur,430000
Jalan-Kuching,Kuala-Lumpur,610000
Sentul,Kuala-Lumpur,630000
Setapak,Kuala-Lumpur,368000
OUG,Kuala-Lumpur,550000
Jalan-Klang-Lama,Kuala-Lumpur,450000
Bukit-Bintang,Kuala-Lumpur,1300000
Sentul,Kuala-Lumpur,2900
Bukit-Jalil,Kuala-Lumpur,385000
Jalan-Klang-Lama,Kuala-Lumpur,1500000
Bangsar,Kuala-Lumpur,4500
KL-City,Kuala-Lumpur,2600
Mont-Kiara,Kuala-Lumpur,1280000
Mont-Kiara,Kuala-Lumpur,1440000
Setiawangsa,Kuala-Lumpur,520000
Wangsa-Maju,Kuala-Lumpur,380000
Mont-Kiara,Kuala-Lumpur,1300000
Mont-Kiara,Kuala-Lumpur,1200000
Setapak,Kuala-Lumpur,530000
Setapak,Kuala-Lumpur,530000
Jalan-Kuching,Kuala-Lumpur,400000
Segambut,Kuala-Lumpur,550000
Segambut,Kuala-Lumpur,550000
KLCC,Kuala-Lumpur,1650000
KLCC,Kuala-Lumpur,1600000
Setapak,Kuala-Lumpur,410000
KLCC,Kuala-Lumpur,1680000
KLCC,Kuala-Lumpur,1680000
Setapak,Kuala-Lumpur,450000
Setapak,Kuala-Lumpur,430000
Setapak,Kuala-Lumpur,460000
KLCC,Kuala-Lumpur,1689800
Sungai-Besi,Kuala-Lumpur,693000
Setapak,Kuala-Lumpur,600000
Setapak,Kuala-Lumpur,520000
Setapak,Kuala-Lumpur,408000
Mont-Kiara,Kuala-Lumpur,800000
Mont-Kiara,Kuala-Lumpur,878000
Setapak,Kuala-Lumpur,450000
Setapak,Kuala-Lumpur,399000
Setapak,Kuala-Lumpur,415000
Mont-Kiara,Kuala-Lumpur,900000
Mont-Kiara,Kuala-Lumpur,3000
Pantai,Kuala-Lumpur,740000
Bukit-Bintang,Kuala-Lumpur,550000
Segambut,Kuala-Lumpur,465000
Jalan-Kuching,Kuala-Lumpur,620000
City-Centre,Kuala-Lumpur,750000
City-Centre,Kuala-Lumpur,640000
Bukit-Jalil,Kuala-Lumpur,680000
Bukit-Jalil,Kuala-Lumpur,638000
Bukit-Jalil,Kuala-Lumpur,785000
Bukit-Jalil,Kuala-Lumpur,600000
Jalan-Klang-Lama,Kuala-Lumpur,599000
Jalan-Klang-Lama,Kuala-Lumpur,580000
Jalan-Ipoh,Kuala-Lumpur,528000
Setapak,Kuala-Lumpur,488000
Cheras,Kuala-Lumpur,1290000
Cheras,Kuala-Lumpur,1280000
Bukit-Jalil,Kuala-Lumpur,390000
Bangsar,Kuala-Lumpur,1000000
Bangsar,Kuala-Lumpur,1100000
Bukit-Jalil,Kuala-Lumpur,510000
Segambut,Kuala-Lumpur,398000
KLCC,Kuala-Lumpur,1700000
KLCC,Kuala-Lumpur,1610000
KLCC,Kuala-Lumpur,1600000
KLCC,Kuala-Lumpur,1650000
Jalan-Ipoh,Kuala-Lumpur,736200
Jalan-Ipoh,Kuala-Lumpur,700000
Mont-Kiara,Kuala-Lumpur,770000
Sentul,Kuala-Lumpur,430000
Sri-Hartamas,Kuala-Lumpur,730000
Bukit-Jalil,Kuala-Lumpur,450000
Setapak,Kuala-Lumpur,400000
Bukit-Jalil,Kuala-Lumpur,620000
KLCC,Kuala-Lumpur,1900000
Bukit-Bintang,Kuala-Lumpur,2899900
Bukit-Bintang,Kuala-Lumpur,2653100
Bukit-Bintang,Kuala-Lumpur,2591000
Bukit-Jalil,Kuala-Lumpur,600000
Bukit-Bintang,Kuala-Lumpur,2050000
Bukit-Bintang,Kuala-Lumpur,2838200
Sri-Petaling,Kuala-Lumpur,557000
KLCC,Kuala-Lumpur,1700000
Cheras,Kuala-Lumpur,500000
Dutamas,Kuala-Lumpur,1200000
Dutamas,Kuala-Lumpur,1300000
KL-City,Kuala-Lumpur,728000
Pantai,Kuala-Lumpur,720000
Mont-Kiara,Kuala-Lumpur,930000
Bukit-Jalil,Kuala-Lumpur,520000
Sentul,Kuala-Lumpur,520000
Jalan-Klang-Lama,Kuala-Lumpur,405000
Desa-Petaling,Kuala-Lumpur,388000
Bukit-Jalil,Kuala-Lumpur,628000
Mont-Kiara,Kuala-Lumpur,820000
Mont-Kiara,Kuala-Lumpur,840000
Mont-Kiara,Kuala-Lumpur,795000
Desa-Petaling,Kuala-Lumpur,400000
KLCC,Kuala-Lumpur,1623700
Taman-Desa,Kuala-Lumpur,450000
Pantai,Kuala-Lumpur,599000
City-Centre,Kuala-Lumpur,1050000
Bandar-Tasik-Selatan,Kuala-Lumpur,658000
Taman-Desa,Kuala-Lumpur,615000
Sri-Petaling,Kuala-Lumpur,410000
Taman-Desa,Kuala-Lumpur,600000
Pantai,Kuala-Lumpur,660000
Mont-Kiara,Kuala-Lumpur,750000
Dutamas,Kuala-Lumpur,825000
Pantai,Kuala-Lumpur,800000
Pantai,Kuala-Lumpur,820000
Taman-Melawati,Kuala-Lumpur,598888
Taman-Melawati,Kuala-Lumpur,600000
Sungai-Besi,Kuala-Lumpur,550000
KLCC,Kuala-Lumpur,1500000
Jalan-Klang-Lama,Kuala-Lumpur,428000
Ampang,Kuala-Lumpur,1330000
Sungai-Besi,Kuala-Lumpur,600000
Jalan-Kuching,Kuala-Lumpur,550000
Bandar-Menjalara,Kuala-Lumpur,650000
Bukit-Jalil,Kuala-Lumpur,530000
Bukit-Jalil,Kuala-Lumpur,538000
Wangsa-Maju,Kuala-Lumpur,460000
Ampang-Hilir,Kuala-Lumpur,555000
Wangsa-Maju,Kuala-Lumpur,580000
Bukit-Jalil,Kuala-Lumpur,680000
Mont-Kiara,Kuala-Lumpur,850000
Mont-Kiara,Kuala-Lumpur,750000
KLCC,Kuala-Lumpur,1400000
KLCC,Kuala-Lumpur,2050000
KLCC,Kuala-Lumpur,1400000
Wangsa-Maju,Kuala-Lumpur,540000
KLCC,Kuala-Lumpur,2240000
KLCC,Kuala-Lumpur,2050000
Cheras,Kuala-Lumpur,672300
Setapak,Kuala-Lumpur,410000
Cheras,Kuala-Lumpur,672300
Setapak,Kuala-Lumpur,470000
Setapak,Kuala-Lumpur,440000
Cheras,Kuala-Lumpur,672300
Cheras,Kuala-Lumpur,672300
Setapak,Kuala-Lumpur,400000
Setapak,Kuala-Lumpur,450000
Setapak,Kuala-Lumpur,485000
Setapak,Kuala-Lumpur,430000
Setapak,Kuala-Lumpur,460000
Setapak,Kuala-Lumpur,430000
Setapak,Kuala-Lumpur,480000
Setapak,Kuala-Lumpur,499000
Jalan-Ipoh,Kuala-Lumpur,520000
Setapak,Kuala-Lumpur,488000
Setapak,Kuala-Lumpur,430000
Setapak,Kuala-Lumpur,410000
Setapak,Kuala-Lumpur,480000
Setapak,Kuala-Lumpur,440000
Batu-Caves,Kuala-Lumpur,330000
City-Centre,Kuala-Lumpur,620000
Cheras,Kuala-Lumpur,860000
Dutamas,Kuala-Lumpur,728000
Jalan-Klang-Lama,Kuala-Lumpur,500000
Cheras,Kuala-Lumpur,2000
Mont-Kiara,Kuala-Lumpur,730000
Mont-Kiara,Kuala-Lumpur,820000
Mont-Kiara,Kuala-Lumpur,830000
Setapak,Kuala-Lumpur,495000
Mont-Kiara,Kuala-Lumpur,710000
Mont-Kiara,Kuala-Lumpur,830000
Mont-Kiara,Kuala-Lumpur,970000
Setapak,Kuala-Lumpur,550000
KL-City,Kuala-Lumpur,1300000
KL-City,Kuala-Lumpur,1300000
Desa-ParkCity,Kuala-Lumpur,1250000
KLCC,Kuala-Lumpur,1200000
Desa-ParkCity,Kuala-Lumpur,931000
Cheras,Kuala-Lumpur,480000
Desa-ParkCity,Kuala-Lumpur,1400000
Taman-Desa,Kuala-Lumpur,700000
Desa-ParkCity,Kuala-Lumpur,1550000
Taman-Desa,Kuala-Lumpur,745000
Bukit-Jalil,Kuala-Lumpur,650000
Jalan-Kuching,Kuala-Lumpur,580000
Jalan-Kuching,Kuala-Lumpur,550000
Mont-Kiara,Kuala-Lumpur,860000
KLCC,Kuala-Lumpur,1950000
Setapak,Kuala-Lumpur,530000
Jalan-Klang-Lama,Kuala-Lumpur,370000
Taman-Tun-Dr-Ismail,Kuala-Lumpur,580000
Mont-Kiara,Kuala-Lumpur,900000
Ampang,Kuala-Lumpur,850000
Desa-ParkCity,Kuala-Lumpur,1300000
Seputeh,Kuala-Lumpur,499000
Jalan-Klang-Lama,Kuala-Lumpur,435000
Ampang,Kuala-Lumpur,420000
Ampang-Hilir,Kuala-Lumpur,688000
Cheras,Kuala-Lumpur,530000
Pandan-Indah,Kuala-Lumpur,600000
Sri-Petaling,Kuala-Lumpur,500000
City-Centre,Kuala-Lumpur,720000
City-Centre,Kuala-Lumpur,720000
Bukit-Jalil,Kuala-Lumpur,670000
City-Centre,Kuala-Lumpur,720000
Desa-ParkCity,Kuala-Lumpur,1250000
Cheras,Kuala-Lumpur,630000
Cheras,Kuala-Lumpur,648000
Cheras,Kuala-Lumpur,680000
Bukit-Bintang,Kuala-Lumpur,3006000
Bukit-Bintang,Kuala-Lumpur,2744700
Sungai-Besi,Kuala-Lumpur,732000
Bukit-Bintang,Kuala-Lumpur,2287250
Bukit-Bintang,Kuala-Lumpur,3000000
Bukit-Bintang,Kuala-Lumpur,2600000
Setapak,Kuala-Lumpur,585000
Setapak,Kuala-Lumpur,555000
Setapak,Kuala-Lumpur,550000
Setapak,Kuala-Lumpur,560000
Setapak,Kuala-Lumpur,580000
Setapak,Kuala-Lumpur,555000
Taman-Tun-Dr-Ismail,Kuala-Lumpur,1100000
Setapak,Kuala-Lumpur,525000
Setapak,Kuala-Lumpur,540000
Setapak,Kuala-Lumpur,520000
Setapak,Kuala-Lumpur,500000
Setapak,Kuala-Lumpur,500000
Taman-Tun-Dr-Ismail,Kuala-Lumpur,1100000
Setapak,Kuala-Lumpur,540000
Setapak,Kuala-Lumpur,530000
Setapak,Kuala-Lumpur,500000
Kuchai-Lama,Kuala-Lumpur,588000
Bandar-Menjalara,Kuala-Lumpur,698000
Bandar-Menjalara,Kuala-Lumpur,680000
Bandar-Menjalara,Kuala-Lumpur,700000
Bandar-Menjalara,Kuala-Lumpur,628000
Sungai-Besi,Kuala-Lumpur,750000
Segambut,Kuala-Lumpur,840000
Jalan-Kuching,Kuala-Lumpur,530000
Jalan-Kuching,Kuala-Lumpur,530000
Bangsar,Kuala-Lumpur,580000
Pantai,Kuala-Lumpur,720000
Desa-ParkCity,Kuala-Lumpur,1300000
Dutamas,Kuala-Lumpur,585000
Dutamas,Kuala-Lumpur,450000
Kuchai-Lama,Kuala-Lumpur,780000
Setapak,Kuala-Lumpur,480000
Jalan-Klang-Lama,Kuala-Lumpur,698000
Setapak,Kuala-Lumpur,505000
Setapak,Kuala-Lumpur,520000
Jalan-Klang-Lama,Kuala-Lumpur,510300
